0,53131931,2,50,1,1
0,70420586,2,70,1,5
0,70288308,5,140,2,2
0,70114826,3,105,2,1
0,69659060,5,160,2,4
0,66479763,5,250,3,3
0,61733354,5,300,3,2
0,64762998,5,200,3,A
0,70043828,5,193,3,4
0,69084658,5,300,3,1
0,70343364,3,120,1,5
0,69826494,5,160,2,2
0,69728680,3,130,2,T
0,68751099,2,70,1,3
0,69592474,5,340,3,2
0,69599432,3,85,1,2
0,69206492,3,60,1,A
0,68159131,5,227,3,3
0,68153189,5,85,2,2
0,64957198,5,191,3,1
0,69862702,5,225,3,3
0,68902925,2,85,1,A
0,67281105,5,204,2,3
0,67959361,5,190,2,2
0,63857680,4,110,2,A
0,67380229,3,78,2,1
0,66088401,2,58,1,3
0,68841515,5,150,2,T
0,70114868,2,70,1,4
0,69668334,4,130,2,1
0,69451666,3,72,1,2
0,69586174,5,200,3,3
0,69253850,5,170,3,1
0,67622989,5,141,2,1
0,67751455,4,100,2,2
0,69613394,3,87,2,3
0,68929529,3,100,2,1
0,68373749,5,220,3,4
0,66093203,5,174,3,A
0,69686894,2,60,1,T
0,70084416,5,230,3,4
0,69292298,5,250,3,3
0,69041486,5,260,3,R
0,64540628,4,140,2,3
0,70266408,5,150,2,3
0,61837974,5,123,2,3
0,61128410,4,131,2,A
0,70041836,4,139,2,5
0,68597785,2,75,1,1
0,67281797,4,127,1,2
0,65915711,5,460,3,T
0,70336510,3,92,1,1
0,69391514,3,109,2,1
0,66064221,5,140,2,2
0,65062100,5,170,1,3
0,63735830,5,159,1,4
0,70105452,4,130,2,1
0,69489710,5,130,2,1
0,69192522,4,134,1,A
0,68683483,5,250,3,1
0,67242549,5,290,2,R
0,67715597,5,183,2,2
0,69866648,4,130,3,3
0,65779135,3,90,1,3
0,69583480,2,65,1,1
0,68926129,5,250,3,3
0,67012733,4,150,1,4
0,65564714,5,185,3,T
0,64236874,5,250,3,5
0,68862415,2,80,1,T
0,69936424,4,115,2,9
0,69778886,3,87,1,S
0,69731442,2,52,1,2
0,69848852,2,65,1,5
0,69566282,3,125,2,5
0,65577692,5,210,2,5
0,68404119,3,160,2,S
0,66712707,4,127,2,1
0,66484253,3,100,2,5
0,67646595,2,58,1,T
0,64625120,3,90,1,4
0,70114842,5,175,2,A
0,67406315,4,150,3,3
0,66484469,2,55,1,T
0,68192795,2,60,1,5
0,68192569,5,250,3,1
0,70107928,3,110,1,T
0,69489816,5,115,1,2
0,66650211,5,230,3,1
0,69722980,4,168,3,T
0,69090654,2,65,1,R
0,67991129,2,20,1,T
0,68986837,2,56,1,4
0,68601391,5,220,3,4
0,67414483,5,340,3,4
0,67401927,3,92,2,5
0,66667845,4,93,1,4
0,67738567,4,110,2,A
0,67344901,5,135,3,1
0,63420032,5,235,3,3
0,60582078,2,65,1,3
0,63015050,3,93,1,2
0,70089532,5,270,3,R
0,68842493,5,170,3,2
0,66890473,5,212,2,2
0,66813545,5,154,1,3
0,68632829,3,100,3,2
0,68172417,3,120,1,3
0,67854699,2,40,1,7
0,67531639,4,166,2,4
0,64673188,2,55,1,A
0,69489650,4,200,2,2
